word,14th,15th,total
"不幸",1,0,1
"悲劇",1,0,1
"一再",1,0,1
"心理",1,0,1
"反毒",1,0,1
"不應該",1,0,1
"遲疑",1,0,1
"不可以",1,0,1
"躁進",1,0,1
"召集人",1,0,1
"緊鑼密鼓",1,0,1
"籌備",1,0,1
"發動",1,0,1
"為什麼",1,0,1
"階層",1,0,1
"職業",1,0,1
"一年",1,0,1
"可行",1,0,1
"還是",1,0,1
"公務員",1,0,1
"退休",1,0,1
"得到",1,0,1
"優質",1,0,1
"平價",1,0,1
"普及",1,0,1
"總動員",1,0,1
"主導",1,0,1
"主義",1,0,1
"互助",1,0,1
"老年人",1,0,1
"熟悉",1,0,1
"安心",1,0,1
"享受",1,0,1
"老年",1,0,1
"老人",1,0,1
"變成",1,0,1
"扛起來",1,0,1
"按部就班",1,0,1
"執行",1,0,1
"超高齡",1,0,1
"平等",1,0,1
"透明",1,0,1
"進化",1,0,1
"找出",1,0,1
"謹慎",1,0,1
"真正",1,0,1
"記取",1,0,1
"錯誤",1,0,1
"整理",1,0,1
"出發",1,0,1
"預計",1,0,1
"三年",1,0,1
"報告書",1,0,1
"報告",1,0,1
"揭示",1,0,1
"後續",1,0,1
"挖掘",1,0,1
"彌平",1,0,1
"傷痕",1,0,1
"釐清",1,0,1
"從此",1,0,1
"以後",1,0,1
"分裂",1,0,1
"原因",1,0,1
"同樣",1,0,1
"相同",1,0,1
"小朋友",1,0,1
"國歌",1,0,1
"之前",1,0,1
"部落",1,0,1
"古調",1,0,1
"象徵",1,0,1
"順序",1,0,1
"道歉",1,0,1
"重建",1,0,1
"原民",1,0,1
"史觀",1,0,1
"自治",1,0,1
"復育",1,0,1
"語言",1,0,1
"親近",1,0,1
"防線",1,0,1
"功能",1,0,1
"感受",1,0,1
"十月",1,0,1
"社會力",1,0,1
"進來",1,0,1
"法律人",1,0,1
"家務事",1,0,1
"三十年",1,0,1
"時期",1,0,1
"近年",1,0,1
"快速",1,0,1
"善用",1,0,1
"籌碼",1,0,1
"無足輕重",1,0,1
"可能",1,0,1
"邊緣化",1,0,1
"喪失",1,0,1
"自主權",1,0,1
"危機",1,0,1
"轉機",1,0,1
"關聯",1,0,1
"互補",1,0,1
"乃至",1,0,1
"形塑",1,0,1
"基於",1,0,1
"廣泛",1,0,1
"增進",1,0,1
"東協",1,0,1
"印度",1,0,1
"坦誠",1,0,1
"尋求",1,0,1
"協力",1,0,1
"可能性",1,0,1
"促成",1,0,1
"一致",1,0,1
"隨時",1,0,1
"誤判",1,0,1
"互信",1,0,1
"謹守",1,0,1
"利益",1,0,1
"依照",1,0,1
"當選",1,0,1
"主權",1,0,1
"領土",1,0,1
"東海",1,0,1
"南海",1,0,1
"主張",1,0,1
"擱置",1,0,1
"現有",1,0,1
"之後",1,0,1
"累積",1,0,1
"珍惜",1,0,1
"法律",1,0,1
"執政黨",1,0,1
"放下",1,0,1
"包袱",1,0,1
"良性",1,0,1
"造福",1,0,1
"包含",1,0,1
"元素",1,0,1
"會談",1,0,1
"現行",1,0,1
"民意",1,0,1
"善盡",1,0,1
"走進",1,0,1
"來自",1,0,1
"使節團",1,0,1
"長久以來",1,0,1
"官方",1,0,1
"經驗",1,0,1
"模範生",1,0,1
"民主化",1,0,1
"以來",1,0,1
"普世",1,0,1
"加入",1,0,1
"同盟",1,0,1
"美國",1,0,1
"日本",1,0,1
"歐洲",1,0,1
"在內",1,0,1
"全方位",1,0,1
"規則",1,0,1
"制定",1,0,1
"融入",1,0,1
"防制",1,0,1
"暖化",1,0,1
"設立",1,0,1
"減碳",1,0,1
"辦公室",1,0,1
"根據",1,0,1
"巴黎",1,0,1
"協議",1,0,1
"規定",1,0,1
"定期",1,0,1
"溫室",1,0,1
"氣體",1,0,1
"減量",1,0,1
"救援",1,0,1
"研究",1,0,1
"跨國",1,0,1
"結語",1,0,1
"直選",1,0,1
"剛好",1,0,1
"之下",1,0,1
"渡過",1,0,1
"如同",1,0,1
"焦慮",1,0,1
"矛盾",1,0,1
"進步",1,0,1
"保守",1,0,1
"激發出",1,0,1
"清楚",1,0,1
"認識",1,0,1
"肩負",1,0,1
"前進",1,0,1
"選項",1,0,1
"推向",1,0,1
"階段",1,0,1
"輸贏",1,0,1
"對決",1,0,1
"形態",1,0,1
"綁架",1,0,1
"效率",1,0,1
"照料",1,0,1
"意義",1,0,1
"主人",1,0,1
"誕生",1,0,1
"開始",1,0,1
"這一刻",1,0,1
"擔子",1,0,1
"尊嚴",1,0,1
"自信",1,0,1
"公義",1,0,1
"痕跡",1,0,1
"記住",1,0,1
"感到",1,0,1
"剛才",1,0,1
"表演",1,0,1
"節目",1,0,1
"歌曲",1,0,1
"等待",1,0,1
"那一天",1,0,1
"明天",1,0,1
"每一天",1,0,1
"電視機",0,1,1
"網路",0,1,1
"無比",0,1,1
"感恩",0,1,1
"心情",0,1,1
"交付給",0,1,1
"中華民國史",0,1,1
"人數",0,1,1
"走來",0,1,1
"這麼",0,1,1
"期間",0,1,1
"很少",0,1,1
"提及",0,1,1
"位在",0,1,1
"初期",0,1,1
"藥房",0,1,1
"門口",0,1,1
"排隊",0,1,1
"耐心",0,1,1
"即使",0,1,1
"美德",0,1,1
"檢疫",0,1,1
"隔離",0,1,1
"忍受",0,1,1
"不便",0,1,1
"他人",0,1,1
"人性",0,1,1
"成就",0,1,1
"光榮感",0,1,1
"記憶",0,1,1
"存在",0,1,1
"感覺",0,1,1
"樣子",0,1,1
"而且",0,1,1
"艱難",0,1,1
"依然",0,1,1
"彼此",0,1,1
"責任感",0,1,1
"屹立不搖",0,1,1
"空前",0,1,1
"絕佳",0,1,1
"連續",0,1,1
"驚豔",0,1,1
"成績",0,1,1
"新聞",0,1,1
"媒體",0,1,1
"送往",0,1,1
"國外",0,1,1
"上頭",0,1,1
"伸出",0,1,1
"援手",0,1,1
"體會",0,1,1
"鬆懈",0,1,1
"就算",0,1,1
"散去",0,1,1
"加大",0,1,1
"重組",0,1,1
"排列",0,1,1
"板塊",0,1,1
"人們",0,1,1
"消費",0,1,1
"型態",0,1,1
"想像",0,1,1
"考驗",0,1,1
"脫困",0,1,1
"針對",0,1,1
"帶來",0,1,1
"研擬",0,1,1
"過後",0,1,1
"詭譎",0,1,1
"脫穎而出",0,1,1
"激情",0,1,1
"冷靜",0,1,1
"指出",0,1,1
"留下",0,1,1
"四大",0,1,1
"巨大",0,1,1
"過來",0,1,1
"回到",0,1,1
"四小龍",0,1,1
"股市",0,1,1
"得當",0,1,1
"至今",0,1,1
"正成長",0,1,1
"少有",0,1,1
"紓困",0,1,1
"振興",0,1,1
"重整",0,1,1
"局面",0,1,1
"把握",0,1,1
"前瞻",0,1,1
"鞏固",0,1,1
"幾十年",0,1,1
"抓住",0,1,1
